CR Product Directory Entry Instance Record	Product Directory Entry						CR Product Directory Entry Initiate	CR Product Directory Entry Update	CR Product Directory Entry Request	CR Product Directory Entry Retrieve	BQ Operations Initiate	BQ Operations Update	BQ Operations Request	BQ Operations Retrieve	BQ Sales and Marketing Initiate	BQ Sales and Marketing Update	BQ Sales and Marketing Request	BQ Sales and Marketing Retrieve	BQ Servicing Initiate	BQ Servicing Update	BQ Servicing Request	BQ Servicing Retrieve	BQ Production Initiate	BQ Production Update	BQ Production Request	BQ Production Retrieve
Mandatory		Product Directory Servicing Session Reference				Reference to the active servicing session																				
Mandatory		Product Directory Entry Instance Reference				Reference to the Product Directory Entry instance																				
Initiate		Product Directory Entry Initiate Action Reference				Reference to an Initiate service call	O																			
Initiate		Product Directory Entry Initiate Action Record				The Initiate service call input and output record	IO																			
Initiate		Product Directory Entry Instance Status				The status of the Product Directory Entry instance (e.g. initialised, pending, active)	IO																			
		Product Directory Entry Instance Record	##			Reference details for the handling of a product/service	I	IO	IO	O	I	IO	IO	O	I			O	I			O	I			O
			Product Version			The current version of the product referenced in the directory	I	IO	IO	O	I	IO	IO	O	I			O	I			O	I			O
			Product Directory Entry Configuration 			Any configuration settings for the directory entry (e.g. generally available, provisional)	I	IO	IO	O	I	IO	IO	O	I			O	I			O	I			O
Update		Product Directory Entry Update Action Task Reference				Reference to an update service call		O																		
Update		Product Directory Entry Update Action Task Record				The update service call consolidated processing record		I/O																		
Update		Update Action Request				Details of the update action service request		I																		
Update		Update Response Record				Details of the Update action service response		O																		
REQUEST		Product Directory Entry Request Action Task Reference				Reference to a Product Directory Entry instance request service call			O																	
REQUEST		Product Directory Entry Request Action Task Record				The request service call consolidated processing record			I/O																	
REQUEST		Request Record Reference				Reference to the service request record			O																	
REQUEST		Request Record Type	##			Request service record type (e.g. reworking, refresh, workstep)			I																	
REQUEST			Request Input Record			Request service record (e.g. rework function, refresh record, process workstep)			I																	
REQUEST		Request Response Record				Details of the request action service response			O																	
RETRIEVE		Product Directory Entry Retrieve Action Task Reference				Reference to a Product Directory Entry instance retrieve service call				O																
RETRIEVE		Product Directory Entry Retrieve Action Task Record				The retrieve service call consolidated processing record				IO																
RETRIEVE		Product Directory Entry Retrieve Action Request				Details of the retrieve action service request (lists requested reports)				I																
RETRIEVE		Product Directory Entry Retrieve Action Response				Details of the retrieve action service response (lists returned reports)				O																
RETRIEVE		Product Directory Entry Instance Report Record	##			A specific Product Directory Entry instance formatted report				IO																
RETRIEVE			Product Directory Entry Instance Report Reference			Reference to the control record instance report				I																
RETRIEVE			Product Directory Entry Instance Report Data			The input information used to assemble the report that can be on-going, periodic and actual and projected				O																
RETRIEVE			Product Directory Entry Instance Report Type			The type of external report available				IO																
RETRIEVE			Product Directory Entry Instance Report Parameters			The selection parameters for the report (e.g. period, content type)				I																
RETRIEVE			Product Directory Entry Instance Report			The external report in any suitable form including selection filters where appropriate				O																
RETRIEVE		Product Directory Entry Instance Analysis	##			A specific Product Directory Entry instance analytical report				IO																
RETRIEVE			Product Directory Entry Instance Analysis Reference			Reference to the control record instance analysis view				I																
RETRIEVE			Product Directory Entry Instance Analysis Data			The inputs and results of the instance analysis that can be on-going, periodic and actual and projected				O																
RETRIEVE			Product Directory Entry Instance Analysis Report Type			The type of external performance analysis report available				IO																
RETRIEVE			Product Directory Entry Instance Analysis Parameters			The selection parameters for the analysis (e.g. period, algorithm type)				I																
RETRIEVE			Product Directory Entry Instance Analysis Report			The external analysis report in any suitable form including selection filters where appropriate				O																
BQ Operations Instance Record	Operations																									
Mandatory		Product Directory Entry Instance Reference				Reference to the parent Product Directory Entry instance																				
Mandatory		Operations Instance Reference				Reference to the Operations instance																				
Initiate		Operations Initiate Action Reference				Reference to an Initiate service call					O															
Initiate		Operations Initiate Action Record				The Initiate service call input and output record					I/O															
Initiate		Operations Instance Status				The status of the Operations instance (e.g. initialised, pending, active)					O															
		Operations Instance Record	##			Operational information used to configure and run the product or service					I	IO	IO	O												
			Product/Service Operating Schedule			 The intended schedule of operational tasks and product service availability					I	IO	IO	O												
			Product/Service Configuration Parameter Type 			Parameter used to configuring operations					I	IO	IO	O												
			Product/Service Configuration Parameter Description 			Description describing the purpose, options and impact of the parameter					I	IO	IO	O												
			Product/Service Configuration Parameter Setting			 The default parameter setting and possible value range					I	IO	IO	O												
Update		Operations Update Action Task Reference				Reference to an update service call						O														
Update		Operations Update Action Task Record				The update service call consolidated processing record						I/O														
Update		Operations Update Action Request				Details of the update action service request						I														
Update		Update Response Record				Details of the Update action service response						O														
Request		Operations Request Action Task Reference				Reference to a Operations instance request service call							O													
Request		Operations Request Action Task Record				The request service call consolidated processing record							I/O													
Request		Operations Request Record Reference				Reference to the Operations service request record							O													
Request		Request Record Type	##			Request service record type (e.g. reworking, refresh, workstep)							I													
Request			Request Input Record			Request service record (e.g. rework function, refresh record, process workstep)							I													
Request		Request Response Record				Details of the request action service response							O													
Retrieve		Operations Retrieve Action Task Reference				Reference to a Operations instance retrieve service call								O												
Retrieve		Operations Retrieve Action Task Record				The retrieve service call consolidated processing record								I/O												
